"frontline_level","band","level_in_band","incoming_pressure_multiplier","defense_output_multiplier","pressure_capacity_multiplier","progress_requirement_multiplier","reward_multiplier","sample_push_pressure_per_second","sample_base_defense_per_second","sample_push_gold_per_minute","sample_push_scrap_per_minute","milestone_gold","milestone_scrap","next_band_level"
"67","7","6","28.654446","10.688232","9.336625","14.807812","14.807812","372.508","138.947","510.87","68.116","0","0","71"
"68","7","7","30.066989","10.920584","9.637806","15.377344","15.377344","390.871","141.968","530.518","70.736","0","0","71"
"69","7","8","31.479532","11.152937","9.938988","15.946875","15.946875","409.234","144.988","550.167","73.356","0","0","71"
"70","7","9","32.892075","11.38529","10.240169","16.516406","16.516406","427.597","148.009","569.816","75.975","0","0","71"
"71","8","0","33.295659","13.476466","10.54135","17.085938","17.085938","432.844","175.194","589.465","78.595","2014","269","81"
"72","8","1","35.626355","13.813378","10.963004","17.940234","17.940234","463.143","179.574","618.938","82.525","0","0","81"
"73","8","2","37.957051","14.150289","11.384658","18.794531","18.794531","493.442","183.954","648.411","86.455","0","0","81"
"74","8","3","40.287747","14.487201","11.806312","19.648828","19.648828","523.741","188.334","677.885","90.385","0","0","81"
"75","8","4","42.618443","14.824112","12.227966","20.503125","20.503125","554.04","192.713","707.358","94.314","0","0","81"
"76","8","5","44.949139","15.161024","12.64962","21.357422","21.357422","584.339","197.093","736.831","98.244","0","0","81"
"77","8","6","47.279835","15.497936","13.071274","22.211719","22.211719","614.638","201.473","766.304","102.174","0","0","81"
"78","8","7","49.610531","15.834847","13.492929","23.066016","23.066016","644.937","205.853","795.778","106.104","0","0","81"
"79","8","8","51.941227","16.171759","13.914583","23.920312","23.920312","675.236","210.233","825.251","110.033","0","0","81"
"80","8","9","54.271923","16.508671","14.336237","24.774609","24.774609","705.535","214.613","854.724","113.963","0","0","81"
"81","9","0","54.937837","19.540876","14.757891","25.628906","25.628906","714.192","254.031","884.197","117.893","3222","430","91"
"82","9","1","58.783485","20.029397","15.348206","26.910352","26.910352","764.185","260.382","928.407","123.788","0","0","91"
"83","9","2","62.629134","20.517919","15.938522","28.191797","28.191797","814.179","266.733","972.617","129.682","0","0","91"
"84","9","3","66.474782","21.006441","16.528837","29.473242","29.473242","864.172","273.084","1016.827","135.577","0","0","91"
"85","9","4","70.320431","21.494963","17.119153","30.754688","30.754688","914.166","279.435","1061.037","141.472","0","0","91"
"86","9","5","74.166079","21.983485","17.709469","32.036133","32.036133","964.159","285.785","1105.247","147.366","0","0","91"
"87","9","6","78.011728","22.472007","18.299784","33.317578","33.317578","1014.152","292.136","1149.456","153.261","0","0","91"
"88","9","7","81.857377","22.960529","18.8901","34.599023","34.599023","1064.146","298.487","1193.666","159.156","0","0","91"
"89","9","8","85.703025","23.449051","19.480416","35.880469","35.880469","1114.139","304.838","1237.876","165.05","0","0","91"
"90","9","9","89.548674","23.937572","20.070731","37.161914","37.161914","1164.133","311.188","1282.086","170.945","0","0","91"
"91","10","0","90.64743","28.334269","20.661047","38.443359","38.443359","1178.417","368.346","1326.296","176.839","5154","688","101"
"92","10","1","96.992751","29.042626","21.487489","40.365527","40.365527","1260.906","377.554","1392.611","185.681","0","0","101"
"93","10","2","103.338071","29.750983","22.313931","42.287695","42.287695","1343.395","386.763","1458.925","194.523","0","0","101"
"94","10","3","109.683391","30.45934","23.140372","44.209863","44.209863","1425.884","395.971","1525.24","203.365","0","0","101"
"95","10","4","116.028711","31.167696","23.966814","46.132031","46.132031","1508.373","405.18","1591.555","212.207","0","0","101"
"96","10","5","122.374031","31.876053","24.793256","48.054199","48.054199","1590.862","414.389","1657.87","221.049","0","0","101"
"97","10","6","128.719351","32.58441","25.619698","49.976367","49.976367","1673.352","423.597","1724.185","229.891","0","0","101"
"98","10","7","135.064671","33.292767","26.44614","51.898535","51.898535","1755.841","432.806","1790.499","238.733","0","0","101"
"99","10","8","141.409992","34.001123","27.272582","53.820703","53.820703","1838.33","442.015","1856.814","247.575","0","0","101"
"100","10","9","147.755312","34.70948","28.099024","55.742871","55.742871","1920.819","451.223","1923.129","256.417","0","0","101"
"101","11","0","149.56826","41.084691","28.925465","57.665039","57.665039","1944.387","534.101","1989.444","265.259","8247","1100","111"
"102","11","1","160.038038","42.111808","30.082484","60.548291","60.548291","2080.495","547.454","2088.916","278.522","0","0","111"
"103","11","2","170.507817","43.138925","31.239503","63.431543","63.431543","2216.602","560.806","2188.388","291.785","0","0","111"
"104","11","3","180.977595","44.166043","32.396521","66.314795","66.314795","2352.709","574.159","2287.86","305.048","0","0","111"
"105","11","4","191.447373","45.19316","33.55354","69.198047","69.198047","2488.816","587.511","2387.333","318.311","0","0","111"
"106","11","5","201.917151","46.220277","34.710559","72.081299","72.081299","2624.923","600.864","2486.805","331.574","0","0","111"
"107","11","6","212.38693","47.247394","35.867577","74.964551","74.964551","2761.03","614.216","2586.277","344.837","0","0","111"
"108","11","7","222.856708","48.274512","37.024596","77.847803","77.847803","2897.137","627.569","2685.749","358.1","0","0","111"
"109","11","8","233.326486","49.301629","38.181614","80.731055","80.731055","3033.244","640.921","2785.221","371.363","0","0","111"
"110","11","9","243.796264","50.328746","39.338633","83.614307","83.614307","3169.351","654.274","2884.694","384.626","0","0","111"
"111","12","0","246.787629","59.572802","40.495652","86.497559","86.497559","3208.239","774.446","2984.166","397.889","13195","1760","121"
"112","12","1","264.062764","61.062122","42.115478","90.822437","90.822437","3432.816","793.808","3133.374","417.783","0","0","121"
"113","12","2","281.337898","62.551442","43.735304","95.147314","95.147314","3657.393","813.169","3282.582","437.678","0","0","121"
"114","12","3","298.613032","64.040762","45.35513","99.472192","99.472192","3881.969","832.53","3431.791","457.572","0","0","121"
"115","12","4","315.888166","65.530082","46.974956","103.79707","103.79707","4106.546","851.891","3580.999","477.467","0","0","121"
"116","12","5","333.1633","67.019402","48.594782","108.121948","108.121948","4331.123","871.252","3730.207","497.361","0","0","121"
"117","12","6","350.438434","68.508722","50.214608","112.446826","112.446826","4555.7","890.613","3879.416","517.255","0","0","121"
"118","12","7","367.713568","69.998042","51.834434","116.771704","116.771704","4780.276","909.975","4028.624","537.15","0","0","121"
"119","12","8","384.988702","71.487362","53.45426","121.096582","121.096582","5004.853","929.336","4177.832","557.044","0","0","121"
"120","12","9","402.263836","72.976682","55.074086","125.42146","125.42146","5229.43","948.697","4327.04","576.939","0","0","121"
"121","13","0","407.199589","86.380562","56.693912","129.746338","129.746338","5293.595","1122.947","4476.249","596.833","21111","2815","131"
"122","13","1","435.70356","88.540076","58.961669","136.233655","136.233655","5664.146","1151.021","4700.061","626.675","0","0","131"
"123","13","2","464.207531","90.69959","61.229425","142.720972","142.720972","6034.698","1179.095","4923.874","656.516","0","0","131"
"124","13","3","492.711502","92.859104","63.497182","149.208289","149.208289","6405.25","1207.168","5147.686","686.358","0","0","131"
"125","13","4","521.215473","95.018619","65.764938","155.695605","155.695605","6775.801","1235.242","5371.498","716.2","0","0","131"
"126","13","5","549.719445","97.178133","68.032695","162.182922","162.182922","7146.353","1263.316","5595.311","746.041","0","0","131"
"127","13","6","578.223416","99.337647","70.300451","168.670239","168.670239","7516.904","1291.389","5819.123","775.883","0","0","131"
"128","13","7","606.727387","101.497161","72.568208","175.157556","175.157556","7887.456","1319.463","6042.936","805.725","0","0","131"
"129","13","8","635.231358","103.656675","74.835964","181.644873","181.644873","8258.008","1347.537","6266.748","835.566","0","0","131"
"130","13","9","663.735329","105.816189","77.103721","188.13219","188.13219","8628.559","1375.61","6490.561","865.408","0","0","131"
"131","14","0","671.879321","125.251815","79.371477","194.619507","194.619507","8734.431","1628.274","6714.373","895.25","33777","4504","141"
"132","14","1","718.910874","128.383111","82.546336","204.350482","204.350482","9345.841","1668.98","7050.092","940.012","0","0","141"
"133","14","2","765.942426","131.514406","85.721196","214.081458","214.081458","9957.252","1709.687","7385.81","984.775","0","0","141"
"134","14","3","812.973979","134.645701","88.896055","223.812433","223.812433","10568.662","1750.394","7721.529","1029.537","0","0","141"
"135","14","4","860.005531","137.776997","92.070914","233.543408","233.543408","11180.072","1791.101","8057.248","1074.3","0","0","141"
"136","14","5","907.037084","140.908292","95.245773","243.274384","243.274384","11791.482","1831.808","8392.966","1119.062","0","0","141"
"137","14","6","954.068636","144.039588","98.420632","253.005359","253.005359","12402.892","1872.515","8728.685","1163.825","0","0","141"
"138","14","7","1001.100189","147.170883","101.595491","262.736334","262.736334","13014.302","1913.221","9064.404","1208.587","0","0","141"
"139","14","8","1048.131741","150.302178","104.77035","272.46731","272.46731","13625.713","1953.928","9400.122","1253.35","0","0","141"
"140","14","9","1095.163294","153.433474","107.945209","282.198285","282.198285","14237.123","1994.635","9735.841","1298.112","0","0","141"
"141","15","0","1108.60088","181.615132","111.120068","291.92926","291.92926","14411.811","2360.997","10071.559","1342.875","54044","7206","151"
"142","15","1","1186.202942","186.155511","115.564871","306.525723","306.525723","15420.638","2420.022","10575.137","1410.018","0","0","151"
"143","15","2","1263.805003","190.695889","120.009674","321.122186","321.122186","16429.465","2479.047","11078.715","1477.162","0","0","151"
"144","15","3","1341.407065","195.236267","124.454476","335.718649","335.718649","17438.292","2538.071","11582.293","1544.306","0","0","151"
"145","15","4","1419.009126","199.776645","128.899279","350.315112","350.315112","18447.119","2597.096","12085.871","1611.45","0","0","151"
"146","15","5","1496.611188","204.317024","133.344082","364.911575","364.911575","19455.945","2656.121","12589.449","1678.593","0","0","151"
"147","15","6","1574.21325","208.857402","137.788885","379.508038","379.508038","20464.772","2715.146","13093.027","1745.737","0","0","151"
"148","15","7","1651.815311","213.39778","142.233687","394.104501","394.104501","21473.599","2774.171","13596.605","1812.881","0","0","151"
"149","15","8","1729.417373","217.938159","146.67849","408.700964","408.700964","22482.426","2833.196","14100.183","1880.024","0","0","151"
"150","15","9","1807.019434","222.478537","151.123293","423.297427","423.297427","23491.253","2892.221","14603.761","1947.168","0","0","151"
"151","16","0","1829.191452","263.341942","155.568096","437.89389","437.89389","23779.489","3423.445","15107.339","2014.312","86470","11530","161"
"152","16","1","1957.234854","269.92549","161.790819","459.788585","459.788585","25444.053","3509.031","15862.706","2115.027","0","0","161"
"153","16","2","2085.278255","276.509039","168.013543","481.683279","481.683279","27108.617","3594.618","16618.073","2215.743","0","0","161"
"154","16","3","2213.321657","283.092587","174.236267","503.577974","503.577974","28773.182","3680.204","17373.44","2316.459","0","0","161"
"155","16","4","2341.365059","289.676136","180.458991","525.472668","525.472668","30437.746","3765.79","18128.807","2417.174","0","0","161"
"156","16","5","2469.40846","296.259684","186.681715","547.367363","547.367363","32102.31","3851.376","18884.174","2517.89","0","0","161"
"157","16","6","2597.451862","302.843233","192.904438","569.262057","569.262057","33766.874","3936.962","19639.541","2618.605","0","0","161"
"158","16","7","2725.495263","309.426782","199.127162","591.156752","591.156752","35431.438","4022.548","20394.908","2719.321","0","0","161"
"159","16","8","2853.538665","316.01033","205.349886","613.051447","613.051447","37096.003","4108.134","21150.275","2820.037","0","0","161"
"160","16","9","2981.582067","322.593879","211.57261","634.946141","634.946141","38760.567","4193.72","21905.642","2920.752","0","0","161"
"161","17","0","3018.165896","381.845816","217.795334","656.840836","656.840836","39236.157","4963.996","22661.009","3021.468","138351","18447","171"
"162","17","1","3229.437508","391.391961","226.507147","689.682877","689.682877","41982.688","5088.095","23794.059","3172.541","0","0","171"
"163","17","2","3440.709121","400.938106","235.21896","722.524919","722.524919","44729.219","5212.195","24927.11","3323.615","0","0","171"
"164","17","3","3651.980734","410.484252","243.930774","755.366961","755.366961","47475.75","5336.295","26060.16","3474.688","0","0","171"
"165","17","4","3863.252347","420.030397","252.642587","788.209003","788.209003","50222.281","5460.395","27193.211","3625.761","0","0","171"
"166","17","5","4074.523959","429.576542","261.354401","821.051044","821.051044","52968.811","5584.495","28326.261","3776.835","0","0","171"
"167","17","6","4285.795572","439.122688","270.066214","853.893086","853.893086","55715.342","5708.595","29459.311","3927.908","0","0","171"
"168","17","7","4497.067185","448.668833","278.778027","886.735128","886.735128","58461.873","5832.695","30592.362","4078.982","0","0","171"
"169","17","8","4708.338797","458.214979","287.489841","919.57717","919.57717","61208.404","5956.795","31725.412","4230.055","0","0","171"
"170","17","9","4919.61041","467.761124","296.201654","952.419212","952.419212","63954.935","6080.895","32858.463","4381.128","0","0","171"
"171","18","0","4979.973728","553.676433","304.913467","985.261253","985.261253","64739.658","7197.794","33991.513","4532.202","221361","29515","181"
"172","18","1","5328.571889","567.518343","317.110006","1034.524316","1034.524316","69271.435","7377.738","35691.089","4758.812","0","0","181"
"173","18","2","5677.17005","581.360254","329.306545","1083.787379","1083.787379","73803.211","7557.683","37390.665","4985.422","0","0","181"
"174","18","3","6025.768211","595.202165","341.503083","1133.050441","1133.050441","78334.987","7737.628","39090.24","5212.032","0","0","181"
"175","18","4","6374.366372","609.044076","353.699622","1182.313504","1182.313504","82866.763","7917.573","40789.816","5438.642","0","0","181"
"176","18","5","6722.964533","622.885987","365.896161","1231.576567","1231.576567","87398.539","8097.518","42489.392","5665.252","0","0","181"
"177","18","6","7071.562694","636.727897","378.092699","1280.839629","1280.839629","91930.315","8277.463","44188.967","5891.862","0","0","181"
"178","18","7","7420.160855","650.569808","390.289238","1330.102692","1330.102692","96462.091","8457.408","45888.543","6118.472","0","0","181"
"179","18","8","7768.759016","664.411719","402.485777","1379.365755","1379.365755","100993.867","8637.352","47588.119","6345.082","0","0","181"
"180","18","9","8117.357177","678.25363","414.682316","1428.628817","1428.628817","105525.643","8817.297","49287.694","6571.693","0","0","181"
"181","19","0","8216.956651","802.830827","426.878854","1477.89188","1477.89188","106820.436","10436.801","50987.27","6798.303","354178","47224","191"
"182","19","1","8792.143617","822.901598","443.954008","1551.786474","1551.786474","114297.867","10697.721","53536.633","7138.218","0","0","191"
"183","19","2","9367.330582","842.972369","461.029163","1625.681068","1625.681068","121775.298","10958.641","56085.997","7478.133","0","0","191"
"184","19","3","9942.517548","863.043139","478.104317","1699.575662","1699.575662","129252.728","11219.561","58635.36","7818.048","0","0","191"
"185","19","4","10517.704514","883.11391","495.179471","1773.470256","1773.470256","136730.159","11480.481","61184.724","8157.963","0","0","191"
"186","19","5","11092.891479","903.184681","512.254625","1847.36485","1847.36485","144207.589","11741.401","63734.087","8497.878","0","0","191"
"187","19","6","11668.078445","923.255451","529.329779","1921.259444","1921.259444","151685.02","12002.321","66283.451","8837.793","0","0","191"
"188","19","7","12243.26541","943.326222","546.404933","1995.154038","1995.154038","159162.45","12263.241","68832.814","9177.709","0","0","191"
"189","19","8","12818.452376","963.396993","563.480088","2069.048632","2069.048632","166639.881","12524.161","71382.178","9517.624","0","0","191"
"190","19","9","13393.639342","983.467763","580.555242","2142.943226","2142.943226","174117.311","12785.081","73931.541","9857.539","0","0","191"
"191","20","0","13557.978475","1164.104699","597.630396","2216.83782","2216.83782","176253.72","15133.361","76480.905","10197.454","566684","75558","201"
"192","20","1","14507.036968","1193.207317","621.535612","2327.679711","2327.679711","188591.481","15511.695","80304.95","10707.327","0","0","201"
"193","20","2","15456.095461","1222.309934","645.440828","2438.521602","2438.521602","200929.241","15890.029","84128.995","11217.199","0","0","201"
"194","20","3","16405.153954","1251.412552","669.346043","2549.363493","2549.363493","213267.001","16268.363","87953.041","11727.072","0","0","201"
"195","20","4","17354.212447","1280.515169","693.251259","2660.205384","2660.205384","225604.762","16646.697","91777.086","12236.945","0","0","201"
"196","20","5","18303.270941","1309.617787","717.156475","2771.047275","2771.047275","237942.522","17025.031","95601.131","12746.817","0","0","201"
"197","20","6","19252.329434","1338.720404","741.061691","2881.889166","2881.889166","250280.283","17403.365","99425.176","13256.69","0","0","201"
"198","20","7","20201.387927","1367.823022","764.966907","2992.731057","2992.731057","262618.043","17781.699","103249.221","13766.563","0","0","201"
"199","20","8","21150.44642","1396.925639","788.872123","3103.572948","3103.572948","274955.803","18160.033","107073.267","14276.436","0","0","201"
"200","20","9","22099.504914","1426.028257","812.777338","3214.414839","3214.414839","287293.564","18538.367","110897.312","14786.308","0","0","201"
"201","21","0","22370.664483","1687.951814","836.682554","3325.25673","3325.25673","290818.638","21943.374","114721.357","15296.181","906695","120893","211"
"202","21","1","23936.610997","1730.15061","870.149856","3491.519567","3491.519567","311175.943","22491.958","120457.425","16060.99","0","0","211"
"203","21","2","25502.557511","1772.349405","903.617159","3657.782403","3657.782403","331533.248","23040.542","126193.493","16825.799","0","0","211"
"204","21","3","27068.504025","1814.5482","937.084461","3824.04524","3824.04524","351890.552","23589.127","131929.561","17590.608","0","0","211"
"205","21","4","28634.450538","1856.746996","970.551763","3990.308076","3990.308076","372247.857","24137.711","137665.629","18355.417","0","0","211"
"206","21","5","30200.397052","1898.945791","1004.019065","4156.570913","4156.570913","392605.162","24686.295","143401.696","19120.226","0","0","211"
"207","21","6","31766.343566","1941.144586","1037.486367","4322.833749","4322.833749","412962.466","25234.88","149137.764","19885.035","0","0","211"
"208","21","7","33332.29008","1983.343382","1070.953669","4489.096586","4489.096586","433319.771","25783.464","154873.832","20649.844","0","0","211"
"209","21","8","34898.236594","2025.542177","1104.420972","4655.359422","4655.359422","453677.076","26332.048","160609.9","21414.653","0","0","211"
"210","21","9","36464.183107","2067.740972","1137.888274","4821.622259","4821.622259","474034.38","26880.633","166345.968","22179.462","0","0","211"
"211","22","0","36911.596397","2447.530131","1171.355576","4987.885095","4987.885095","479850.753","31817.892","172082.036","22944.271","1450711","193429","221"
"212","22","1","39495.408145","2508.718384","1218.209799","5237.27935","5237.27935","513440.306","32613.339","180686.138","24091.485","0","0","221"
"213","22","2","42079.219893","2569.906637","1265.064022","5486.673605","5486.673605","547029.859","33408.786","189290.239","25238.699","0","0","221"
"214","22","3","44663.031641","2631.09489","1311.918245","5736.067859","5736.067859","580619.411","34204.234","197894.341","26385.912","0","0","221"
"215","22","4","47246.843388","2692.283144","1358.772468","5985.462114","5985.462114","614208.964","34999.681","206498.443","27533.126","0","0","221"
"216","22","5","49830.655136","2753.471397","1405.626691","6234.856369","6234.856369","647798.517","35795.128","215102.545","28680.339","0","0","221"
"217","22","6","52414.466884","2814.65965","1452.480914","6484.250624","6484.250624","681388.069","36590.575","223706.647","29827.553","0","0","221"
"218","22","7","54998.278632","2875.847903","1499.335137","6733.644878","6733.644878","714977.622","37386.023","232310.748","30974.766","0","0","221"
"219","22","8","57582.09038","2937.036157","1546.18936","6983.039133","6983.039133","748567.175","38181.47","240914.85","32121.98","0","0","221"
"220","22","9","60165.902127","2998.22441","1593.043583","7232.433388","7232.433388","782156.728","38976.917","249518.952","33269.194","0","0","221"
"221","23","0","60904.134055","3548.918689","1639.897806","7481.827643","7481.827643","791753.743","46135.943","258123.054","34416.407","2321138","309486","231"
"222","23","1","65167.423439","3637.641657","1705.493719","7855.919025","7855.919025","847176.505","47289.342","271029.206","36137.228","0","0","231"
"223","23","2","69430.712823","3726.364624","1771.089631","8230.010407","8230.010407","902599.267","48442.74","283935.359","37858.048","0","0","231"
"224","23","3","73694.002207","3815.087591","1836.685543","8604.101789","8604.101789","958022.029","49596.139","296841.512","39578.868","0","0","231"
"225","23","4","77957.291591","3903.810558","1902.281455","8978.193171","8978.193171","1013444.791","50749.537","309747.664","41299.689","0","0","231"
"226","23","5","82220.580975","3992.533525","1967.877368","9352.284553","9352.284553","1068867.553","51902.936","322653.817","43020.509","0","0","231"
"227","23","6","86483.870358","4081.256493","2033.47328","9726.375935","9726.375935","1124290.315","53056.334","335559.97","44741.329","0","0","231"
"228","23","7","90747.159742","4169.97946","2099.069192","10100.467318","10100.467318","1179713.077","54209.733","348466.122","46462.15","0","0","231"
"229","23","8","95010.449126","4258.702427","2164.665104","10474.5587","10474.5587","1235135.839","55363.132","361372.275","48182.97","0","0","231"
"230","23","9","99273.73851","4347.425394","2230.261017","10848.650082","10848.650082","1290558.601","56516.53","374278.428","49903.79","0","0","231"
"231","24","0","100491.821191","5145.9321","2295.856929","11222.741464","11222.741464","1306393.675","66897.117","387184.581","51624.611","3713821","495177","241"
"232","24","1","107526.248675","5274.580402","2387.691206","11783.878537","11783.878537","1397841.233","68569.545","406543.81","54205.841","0","0","241"
"233","24","2","114560.676158","5403.228704","2479.525483","12345.01561","12345.01561","1489288.79","70241.973","425903.039","56787.072","0","0","241"
"234","24","3","121595.103641","5531.877007","2571.35976","12906.152684","12906.152684","1580736.347","71914.401","445262.268","59368.302","0","0","241"
"235","24","4","128629.531125","5660.525309","2663.194037","13467.289757","13467.289757","1672183.905","73586.829","464621.497","61949.533","0","0","241"
